Date,Open,High,Low,Close,Volume,OpenInt
19710104,0.4327,0.4327,0.4327,0.4327,0,0
19710105,0.4335,0.4335,0.4335,0.4335,0,0
19710106,0.4334,0.4334,0.4334,0.4334,0,0
19710107,0.4334,0.4334,0.4334,0.4334,0,0
19710108,0.4333,0.4333,0.4333,0.4333,0,0
19710111,0.4332,0.4332,0.4332,0.4332,0,0
19710112,0.4332,0.4332,0.4332,0.4332,0,0
19710113,0.4331,0.4331,0.4331,0.4331,0,0
19710114,0.433,0.433,0.433,0.433,0,0
19710115,0.4331,0.4331,0.4331,0.4331,0,0
19710118,0.4334,0.4334,0.4334,0.4334,0,0
19710119,0.4336,0.4336,0.4336,0.4336,0,0
19710120,0.4331,0.4331,0.4331,0.4331,0,0
19710121,0.4329,0.4329,0.4329,0.4329,0,0
19710122,0.433,0.433,0.433,0.433,0,0
19710125,0.4328,0.4328,0.4328,0.4328,0,0
19710126,0.433,0.433,0.433,0.433,0,0
19710127,0.4332,0.4332,0.4332,0.4332,0,0
19710128,0.4332,0.4332,0.4332,0.4332,0,0
19710129,0.4334,0.4334,0.4334,0.4334,0,0
19710201,0.4335,0.4335,0.4335,0.4335,0,0
19710202,0.4335,0.4335,0.4335,0.4335,0,0
19710203,0.4333,0.4333,0.4333,0.4333,0,0
19710204,0.4333,0.4333,0.4333,0.4333,0,0
19710205,0.4333,0.4333,0.4333,0.4333,0,0
19710208,0.4332,0.4332,0.4332,0.4332,0,0
19710209,0.4332,0.4332,0.4332,0.4332,0,0
19710210,0.4333,0.4333,0.4333,0.4333,0,0
19710211,0.4335,0.4335,0.4335,0.4335,0,0
19710216,0.4333,0.4333,0.4333,0.4333,0,0
19710217,0.4332,0.4332,0.4332,0.4332,0,0
19710218,0.4333,0.4333,0.4333,0.4333,0,0
19710219,0.4333,0.4333,0.4333,0.4333,0,0
19710222,0.4333,0.4333,0.4333,0.4333,0,0
19710223,0.4333,0.4333,0.4333,0.4333,0,0
19710224,0.4328,0.4328,0.4328,0.4328,0,0
19710225,0.4322,0.4322,0.4322,0.4322,0,0
19710226,0.4329,0.4329,0.4329,0.4329,0,0
19710301,0.4325,0.4325,0.4325,0.4325,0,0
19710302,0.4326,0.4326,0.4326,0.4326,0,0
19710303,0.4325,0.4325,0.4325,0.4325,0,0
19710304,0.4324,0.4324,0.4324,0.4324,0,0
19710305,0.4324,0.4324,0.4324,0.4324,0,0
19710308,0.4327,0.4327,0.4327,0.4327,0,0
19710309,0.4328,0.4328,0.4328,0.4328,0,0
19710310,0.4326,0.4326,0.4326,0.4326,0,0
19710311,0.4329,0.4329,0.4329,0.4329,0,0
19710312,0.4331,0.4331,0.4331,0.4331,0,0
19710315,0.4332,0.4332,0.4332,0.4332,0,0
19710316,0.4333,0.4333,0.4333,0.4333,0,0
19710317,0.433,0.433,0.433,0.433,0,0
19710318,0.4332,0.4332,0.4332,0.4332,0,0
19710319,0.4333,0.4333,0.4333,0.4333,0,0
19710322,0.4333,0.4333,0.4333,0.4333,0,0
19710323,0.4332,0.4332,0.4332,0.4332,0,0
19710324,0.4332,0.4332,0.4332,0.4332,0,0
19710325,0.4334,0.4334,0.4334,0.4334,0,0
19710326,0.4334,0.4334,0.4334,0.4334,0,0
19710329,0.4334,0.4334,0.4334,0.4334,0,0
19710330,0.4333,0.4333,0.4333,0.4333,0,0
19710331,0.4333,0.4333,0.4333,0.4333,0,0
19710401,0.4333,0.4333,0.4333,0.4333,0,0
19710402,0.4334,0.4334,0.4334,0.4334,0,0
19710405,0.4333,0.4333,0.4333,0.4333,0,0
19710406,0.4332,0.4332,0.4332,0.4332,0,0
19710407,0.4336,0.4336,0.4336,0.4336,0,0
19710408,0.4337,0.4337,0.4337,0.4337,0,0
19710409,0.4336,0.4336,0.4336,0.4336,0,0
19710412,0.4335,0.4335,0.4335,0.4335,0,0
19710413,0.4333,0.4333,0.4333,0.4333,0,0
19710414,0.4332,0.4332,0.4332,0.4332,0,0
19710415,0.4334,0.4334,0.4334,0.4334,0,0
19710416,0.4334,0.4334,0.4334,0.4334,0,0
19710419,0.4339,0.4339,0.4339,0.4339,0,0
19710420,0.4337,0.4337,0.4337,0.4337,0,0
19710421,0.4336,0.4336,0.4336,0.4336,0,0
19710422,0.4337,0.4337,0.4337,0.4337,0,0
19710423,0.4337,0.4337,0.4337,0.4337,0,0
19710426,0.4337,0.4337,0.4337,0.4337,0,0
19710427,0.4337,0.4337,0.4337,0.4337,0,0
19710428,0.4334,0.4334,0.4334,0.4334,0,0
19710429,0.4336,0.4336,0.4336,0.4336,0,0
19710430,0.4336,0.4336,0.4336,0.4336,0,0
19710503,0.4334,0.4334,0.4334,0.4334,0,0
19710504,0.4333,0.4333,0.4333,0.4333,0,0
19710505,0.4387,0.4387,0.4387,0.4387,0,0
19710506,0.4408,0.4408,0.4408,0.4408,0,0
19710507,0.4424,0.4424,0.4424,0.4424,0,0
19710510,0.4417,0.4417,0.4417,0.4417,0,0
19710511,0.4447,0.4447,0.4447,0.4447,0,0
19710512,0.4443,0.4443,0.4443,0.4443,0,0
19710513,0.4438,0.4438,0.4438,0.4438,0,0
19710514,0.4442,0.4442,0.4442,0.4442,0,0
19710517,0.4445,0.4445,0.4445,0.4445,0,0
19710518,0.4449,0.4449,0.4449,0.4449,0,0
19710519,0.4431,0.4431,0.4431,0.4431,0,0
19710520,0.44,0.44,0.44,0.44,0,0
19710521,0.4408,0.4408,0.4408,0.4408,0,0
19710524,0.4412,0.4412,0.4412,0.4412,0,0
19710525,0.4438,0.4438,0.4438,0.4438,0,0
19710526,0.4449,0.4449,0.4449,0.4449,0,0
19710527,0.4436,0.4436,0.4436,0.4436,0,0
19710528,0.4431,0.4431,0.4431,0.4431,0,0
19710601,0.4457,0.4457,0.4457,0.4457,0,0
19710602,0.444,0.444,0.444,0.444,0,0
19710603,0.4422,0.4422,0.4422,0.4422,0,0
19710604,0.4416,0.4416,0.4416,0.4416,0,0
19710607,0.4418,0.4418,0.4418,0.4418,0,0
19710608,0.4411,0.4411,0.4411,0.4411,0,0
19710609,0.4402,0.4402,0.4402,0.4402,0,0
19710610,0.4406,0.4406,0.4406,0.4406,0,0
19710611,0.4399,0.4399,0.4399,0.4399,0,0
19710614,0.4397,0.4397,0.4397,0.4397,0,0
19710615,0.4391,0.4391,0.4391,0.4391,0,0
19710616,0.4393,0.4393,0.4393,0.4393,0,0
19710617,0.4388,0.4388,0.4388,0.4388,0,0
19710618,0.439,0.439,0.439,0.439,0,0
19710621,0.4391,0.4391,0.4391,0.4391,0,0
19710622,0.4384,0.4384,0.4384,0.4384,0,0
19710623,0.4377,0.4377,0.4377,0.4377,0,0
19710624,0.438,0.438,0.438,0.438,0,0
19710625,0.4385,0.4385,0.4385,0.4385,0,0
19710628,0.4382,0.4382,0.4382,0.4382,0,0
19710629,0.4374,0.4374,0.4374,0.4374,0,0
19710630,0.4375,0.4375,0.4375,0.4375,0,0
19710701,0.4379,0.4379,0.4379,0.4379,0,0
19710702,0.4379,0.4379,0.4379,0.4379,0,0
19710706,0.4375,0.4375,0.4375,0.4375,0,0
19710707,0.4372,0.4372,0.4372,0.4372,0,0
19710708,0.4372,0.4372,0.4372,0.4372,0,0
19710709,0.4371,0.4371,0.4371,0.4371,0,0
19710712,0.4372,0.4372,0.4372,0.4372,0,0
19710713,0.4373,0.4373,0.4373,0.4373,0,0
19710714,0.4366,0.4366,0.4366,0.4366,0,0
19710715,0.4364,0.4364,0.4364,0.4364,0,0
19710716,0.4351,0.4351,0.4351,0.4351,0,0
19710719,0.4353,0.4353,0.4353,0.4353,0,0
19710720,0.4356,0.4356,0.4356,0.4356,0,0
19710721,0.435,0.435,0.435,0.435,0,0
19710722,0.4348,0.4348,0.4348,0.4348,0,0
19710723,0.4347,0.4347,0.4347,0.4347,0,0
19710726,0.4347,0.4347,0.4347,0.4347,0,0
19710727,0.4342,0.4342,0.4342,0.4342,0,0
19710728,0.4346,0.4346,0.4346,0.4346,0,0
19710729,0.434,0.434,0.434,0.434,0,0
19710730,0.4342,0.4342,0.4342,0.4342,0,0
19710802,0.4341,0.4341,0.4341,0.4341,0,0
19710803,0.434,0.434,0.434,0.434,0,0
19710804,0.4358,0.4358,0.4358,0.4358,0,0
19710805,0.4349,0.4349,0.4349,0.4349,0,0
19710806,0.4342,0.4342,0.4342,0.4342,0,0
19710809,0.4314,0.4314,0.4314,0.4314,0,0
19710810,0.4307,0.4307,0.4307,0.4307,0,0
19710811,0.43,0.43,0.43,0.43,0,0
19710812,0.4284,0.4284,0.4284,0.4284,0,0
19710813,0.4276,0.4276,0.4276,0.4276,0,0
19710816,0.4296,0.4296,0.4296,0.4296,0,0
19710817,0.4296,0.4296,0.4296,0.4296,0,0
19710818,0.436,0.436,0.436,0.436,0,0
19710819,0.4351,0.4351,0.4351,0.4351,0,0
19710820,0.4378,0.4378,0.4378,0.4378,0,0
19710823,0.4398,0.4398,0.4398,0.4398,0,0
19710824,0.4385,0.4385,0.4385,0.4385,0,0
19710825,0.4372,0.4372,0.4372,0.4372,0,0
19710826,0.439,0.439,0.439,0.439,0,0
19710827,0.4389,0.4389,0.4389,0.4389,0,0
19710830,0.4372,0.4372,0.4372,0.4372,0,0
19710831,0.4364,0.4364,0.4364,0.4364,0,0
19710901,0.4352,0.4352,0.4352,0.4352,0,0
19710902,0.4347,0.4347,0.4347,0.4347,0,0
19710903,0.4366,0.4366,0.4366,0.4366,0,0
19710907,0.4347,0.4347,0.4347,0.4347,0,0
19710908,0.4353,0.4353,0.4353,0.4353,0,0
19710909,0.4354,0.4354,0.4354,0.4354,0,0
19710910,0.4347,0.4347,0.4347,0.4347,0,0
19710913,0.434,0.434,0.434,0.434,0,0
19710914,0.4332,0.4332,0.4332,0.4332,0,0
19710915,0.4332,0.4332,0.4332,0.4332,0,0
19710916,0.4332,0.4332,0.4332,0.4332,0,0
19710917,0.4329,0.4329,0.4329,0.4329,0,0
19710920,0.4307,0.4307,0.4307,0.4307,0,0
19710921,0.4317,0.4317,0.4317,0.4317,0,0
19710922,0.4307,0.4307,0.4307,0.4307,0,0
19710923,0.4291,0.4291,0.4291,0.4291,0,0
19710924,0.428,0.428,0.428,0.428,0,0
19710927,0.4281,0.4281,0.4281,0.4281,0,0
19710928,0.4283,0.4283,0.4283,0.4283,0,0
19710929,0.4291,0.4291,0.4291,0.4291,0,0
19710930,0.43,0.43,0.43,0.43,0,0
19711001,0.43,0.43,0.43,0.43,0,0
19711004,0.4304,0.4304,0.4304,0.4304,0,0
19711005,0.4302,0.4302,0.4302,0.4302,0,0
19711006,0.4295,0.4295,0.4295,0.4295,0,0
19711007,0.4292,0.4292,0.4292,0.4292,0,0
19711008,0.4287,0.4287,0.4287,0.4287,0,0
19711012,0.4294,0.4294,0.4294,0.4294,0,0
19711013,0.4289,0.4289,0.4289,0.4289,0,0
19711014,0.4298,0.4298,0.4298,0.4298,0,0
19711015,0.4294,0.4294,0.4294,0.4294,0,0
19711018,0.429,0.429,0.429,0.429,0,0
19711019,0.4285,0.4285,0.4285,0.4285,0,0
19711020,0.4281,0.4281,0.4281,0.4281,0,0
19711021,0.4284,0.4284,0.4284,0.4284,0,0
19711022,0.4295,0.4295,0.4295,0.4295,0,0
19711026,0.428,0.428,0.428,0.428,0,0
19711027,0.4278,0.4278,0.4278,0.4278,0,0
19711028,0.4288,0.4288,0.4288,0.4288,0,0
19711029,0.4287,0.4287,0.4287,0.4287,0,0
19711101,0.4279,0.4279,0.4279,0.4279,0,0
